,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,graaff-reinet,-32.25,24.53,52.0,93,0,1.36,ZA,1604285923
202,iqaluit,63.75,-68.51,15.8,78,90,4.7,CA,1604285672
203,college,64.86,-147.8,-0.99,83,20,2.21,US,1604285767
204,yulara,-25.24,130.99,95.0,10,0,11.41,AU,1604285923
205,lorengau,-2.02,147.27,86.16,68,34,4.74,PG,1604285923
206,half moon bay,6.38,-10.7,76.57,91,5,4.85,LR,1604285923
207,belmonte,-15.86,-38.88,68.0,88,75,6.93,BR,1604285923
208,tekeli,44.83,78.82,43.61,48,19,5.39,KZ,1604285923
209,tiksi,71.69,128.87,-4.7,90,1,6.71,RU,1604285923
210,agadez,19.75,10.25,62.42,37,53,10.69,NE,1604285924
211,puerto escondido,36.59,-6.23,55.4,93,0,3.36,ES,1604285916
212,alyangula,-13.85,136.42,98.6,18,90,11.41,AU,1604285924
213,kundiawa,-6.02,144.97,75.09,67,64,2.26,PG,1604285924
214,george,-33.96,22.46,55.4,100,0,2.24,ZA,1604285869
215,namibe,-15.2,12.15,69.46,79,10,3.62,AO,1604285924
216,dingle,11.0,122.67,83.52,80,93,14.27,PH,1604285827
217,cabo san lucas,-8.28,-35.03,80.6,74,40,6.93,BR,1604285924
218,mokhotlong,-29.29,29.07,39.9,84,16,1.25,LS,1604285924
219,khatanga,71.97,102.5,8.76,95,99,8.39,RU,1604285925
220,clyde river,41.3,-82.98,33.01,77,16,1.01,US,1604285702
221,naze,28.37,129.48,80.6,78,20,3.36,JP,1604285925
222,plettenberg bay,51.22,7.88,60.01,91,100,1.99,DE,1604285925
223,sinnamary,5.38,-52.95,80.53,81,94,9.35,GF,1604285925
224,araouane,18.9,-3.53,80.64,16,77,5.7,ML,1604285925
225,tasiilaq,65.61,-37.64,24.8,73,0,4.7,GL,1604285875
226,kieta,-6.22,155.63,86.52,61,2,3.8,PG,1604285925
227,margate,51.38,1.39,62.01,87,100,11.01,GB,1604285925
228,dano,11.15,-3.07,75.88,34,2,2.33,BF,1604285925
229,kaitangata,-46.28,169.85,54.0,59,88,8.01,NZ,1604285881
230,bowen,-20.02,148.23,87.8,48,40,13.87,AU,1604285926
231,bethel,41.37,-73.41,46.4,61,90,9.17,US,1604285681
232,wajir,1.75,40.06,75.99,78,56,14.72,KE,1604285926
233,juruti,-2.15,-56.09,82.83,51,72,2.98,BR,1604285926
234,salalah,17.02,54.09,71.6,46,0,3.36,OM,1604285782
235,saint-pierre,-21.34,55.48,69.8,64,90,4.7,RE,1604285926
236,doha,25.29,51.53,77.0,61,0,2.24,QA,1604285682
237,barkot,30.82,78.2,63.19,42,0,0.63,IN,1604285926
238,deer lake,38.62,-91.8,37.99,50,0,3.85,US,1604285926
239,manjacaze,-24.71,33.88,65.28,91,41,2.62,MZ,1604285927
240,chitral,35.85,71.79,55.11,29,0,5.91,PK,1604285927
241,grinnell,41.74,-92.72,35.6,43,1,3.36,US,1604285927
242,hjelset,62.78,7.48,48.2,76,99,12.75,NO,1604285927
243,mednogorsk,51.41,57.59,37.29,89,50,17.34,RU,1604285927
244,darnah,32.77,22.64,69.69,64,74,14.47,LY,1604285927
245,lagos,6.58,3.75,76.73,95,98,1.74,NG,1604285821
246,jhargram,22.45,86.98,80.46,67,21,7.14,IN,1604285927
247,sribne,50.66,32.92,45.27,93,80,4.03,UA,1604285927
248,wasilla,61.58,-149.44,21.2,40,1,16.11,US,1604285848
249,wagar,16.15,36.2,75.96,74,10,7.38,SD,1604285928
250,cayambe,0.05,-78.13,53.6,81,20,5.82,EC,1604285928
251,mazagao,-0.12,-51.29,82.4,88,0,6.93,BR,1604285928
252,nhulunbuy,-12.23,136.77,91.4,49,13,10.29,AU,1604285928
253,chalisgaon,20.47,75.02,76.05,38,19,3.15,IN,1604285928
254,reykjavik,64.14,-21.9,35.6,69,75,6.93,IS,1604285928
255,lagoa,39.05,-27.98,61.84,70,44,17.34,PT,1604285868
256,bandarbeyla,9.49,50.81,76.51,76,0,17.65,SO,1604285928
257,palmer,42.16,-72.33,42.8,75,75,11.41,US,1604285928
258,geraldton,-28.77,114.6,68.0,68,75,17.22,AU,1604285827
259,kiunga,-6.12,141.29,86.47,68,99,2.57,PG,1604285731
260,avarua,-21.21,-159.78,78.8,83,88,17.22,CK,1604285929
261,poum,-20.23,164.02,78.84,75,59,11.3,NC,1604285929
262,banjarmasin,-3.32,114.59,76.37,92,100,3.83,ID,1604285929
263,byron bay,44.03,-92.65,30.2,58,1,6.93,US,1604285929
264,zhenlai,45.85,123.3,33.91,66,100,19.46,CN,1604285929
265,sao joao da barra,20.51,76.21,72.84,51,0,4.38,IN,1604285929
266,floridia,37.09,15.15,50.0,100,0,4.7,IT,1604285929
267,mayo,38.89,-76.51,53.6,46,40,17.22,US,1604285877
268,coquimbo,-29.95,-71.34,55.4,87,40,2.24,CL,1604285745
269,livingstonia,-10.61,34.11,65.59,81,74,5.44,MW,1604285930
270,saint-francois,46.42,3.91,62.01,77,0,3.36,FR,1604285930
271,yerbogachen,61.28,108.01,12.11,89,75,12.59,RU,1604285930
272,inirida,3.87,-67.92,71.4,98,100,1.63,CO,1604285930
273,meulaboh,4.14,96.13,83.75,71,93,3.38,ID,1604285930
274,narsaq,60.92,-46.05,23.0,73,0,4.7,GL,1604285930
275,uyar,55.81,94.32,35.26,83,100,6.69,RU,1604285930
276,bulgan,48.81,103.53,26.26,80,0,2.91,MN,1604285728
277,valley city,45.13,-116.13,42.8,48,1,5.01,US,1604285931
278,georgetown,5.41,100.34,84.2,83,20,6.93,MY,1604285726
279,corvallis,44.56,-123.26,48.99,87,1,3.36,US,1604285931
280,tome,-36.62,-72.95,53.6,87,90,3.36,CL,1604285931
281,semirom,31.42,51.57,28.89,84,0,1.1,IR,1604285931
282,tiznit,29.58,-9.5,66.99,29,0,3.6,MA,1604285931
283,kailua,21.4,-157.74,80.6,61,75,5.82,US,1604285931
284,kununurra,-15.77,128.73,98.6,35,57,8.05,AU,1604285931
285,japura,-0.32,102.35,86.77,64,100,3.51,ID,1604285932
286,najran,17.49,44.13,55.4,32,0,0.4,SA,1604285932
287,zharkovskiy,55.85,32.27,39.51,89,100,5.84,RU,1604285932
288,kaura namoda,12.29,4.46,74.88,23,73,10.13,NG,1604285932
289,port-gentil,-0.72,8.78,78.91,83,100,10.98,GA,1604285932
290,camopi,3.17,-52.32,73.49,95,14,2.28,GF,1604285932
291,diffa,13.32,12.61,75.18,35,3,11.27,NE,1604285863
292,ponta do sol,38.73,-28.27,58.84,80,44,16.06,PT,1604285932
293,grand centre,38.88,-109.5,48.2,42,1,4.7,US,1604285932
294,jalu,29.03,21.55,61.23,69,1,5.21,LY,1604285933
295,upernavik,72.79,-56.15,16.39,93,98,3.98,GL,1604285834
296,klaksvik,62.23,-6.59,44.6,81,31,14.99,FO,1604285695
297,kirakira,-10.45,161.92,78.78,86,99,6.08,SB,1604285933
298,chapada dos guimaraes,-28.89,-50.36,48.76,92,55,3.74,BR,1604285933
299,mugur-aksy,50.35,90.5,24.69,81,50,4.72,RU,1604285933
300,moses lake,6.69,-8.48,70.25,98,38,0.87,CI,1604285933
301,zinder,13.81,8.99,75.2,22,100,12.84,NE,1604285933
302,isangel,-19.55,169.27,86.0,66,75,11.41,VU,1604285697
303,porto empedocle,41.15,-8.61,64.4,100,90,9.17,PT,1604285791
304,pevek,69.7,170.31,13.98,97,100,9.62,RU,1604285934
305,ambo,-10.13,-76.2,60.12,67,86,2.28,PE,1604285934
306,pleasanton,37.66,-121.87,64.99,36,1,3.36,US,1604285712
307,haines junction,59.23,-135.44,23.0,85,90,18.34,US,1604285934
308,carutapera,-1.2,-46.02,77.88,84,25,5.66,BR,1604285934
309,sandwick,60.0,-1.25,50.0,81,41,32.21,GB,1604285934
310,hammerfest,70.66,23.68,42.8,81,100,42.5,NO,1604285934
311,eureka,40.8,-124.16,51.01,93,1,1.45,US,1604285730
312,torbay,47.67,-52.73,37.99,80,5,14.99,CA,1604285934
313,soubre,5.79,-6.61,71.58,98,75,2.13,CI,1604285935
314,maymyo,22.03,96.47,80.6,83,75,4.7,MM,1604285935
315,kysyl-syr,63.9,122.76,4.1,90,18,8.16,RU,1604285889
316,samastipur,25.85,85.78,79.84,49,30,6.06,IN,1604285935
317,san anselmo,13.3,-4.9,77.23,19,0,7.11,ML,1604285935
318,pocking,48.4,13.32,55.0,91,100,4.0,DE,1604285935
